	country	capital	languages	ethnic groups	religion groups
0	Afghanistan	Kabul	 ,Pashto ,Dari	 ,Pashtun ,Tajik ,Hazara ,Uzbek ,Aimaq ,Turkmen ,Baloch ,others	 ,Muslims ,others
1	Albania	Tirana	 ,Albanian	 ,Greek ,Aromanian ,Macedonian	 ,Albanian
2	Algeria			 ,Arabic ,Berber	 ,French ,Algerian Arabic (Darja)
3	Andorra			 ,Catalan	 ,Spanish ,Portuguese ,French
4	Angola	Luanda	 ,Portuguese	 ,Kikongo ,Kimbundu ,Umbundu	 ,Ovimbundu ,Ambundu ,Bakongo ,Mestiço ,Chinese ,European
5	Antigua_and_Barbuda			 ,English	 ,Antiguan and Barbudan Creole
6	Argentina				 ,Guaraní ,Corrientes ,Qom ,Mocoví ,Wichí ,Chaco
7	Armenia	Armenian	 ,Armenians ,Yazidis ,Russians	 ,Christianity	 ,Armenian
8	Australia	Sydney	 ,English	 ,Various ,Christianity ,No religion ,Islam ,Buddhism ,Hinduism ,Sikhism ,Judaism ,Other	 ,Australian ,Aussie
9	Austria	German	 ,Hungarian ,Slovene ,Burgenland Croatian	 ,Austrians ,Yugoslavs ,Germans ,Turks	 ,Austrian
10	Azerbaijan	Baku	 ,Azerbaijani	 ,Armenian ,Avar ,Budukh ,Georgian ,Juhuri ,Khinalug ,Kryts ,Kurdish ,Lezgian ,Russian ,Rutul ,Talysh ,Tat ,Tsakhur ,Udi	 ,Azerbaijani ,Lezgian ,Armenian ,Russian ,Talysh ,others
11	Bahamas			 ,English	 ,Bahamian Creole
12	Bahrain	Manama	 ,Arabic	 ,English	 ,Arab ,Bahraini people
13	Bangladesh			 ,Bengali	 ,Bengalis ,Chakmas ,Biharis ,Marmas ,Santhals ,Mros ,Tanchangyas ,Bawms ,Tripuris ,Khumis ,Kukis ,Garos ,Bisnupriya Manipuris
14	Barbados	Bridgetown	 ,English	 ,Bajan Creole	 ,Afro-Barbadian ,Multiracial ,White Barbadian ,Indo-Bajans
15	Belarus	Belarusian	 ,Polish ,Ukrainian ,Yiddish	 ,Belarusians ,Russians ,Poles ,Ukrainians	 ,Belarusian
16	Belgium			 ,Dutch ,French ,German	 ,Demographics
17	Belize			 ,Belize City	 ,English
18	Benin	Porto-Novo	 ,Cotonou	 ,French	 ,Fon ,Yoruba ,Bariba
19	Bhutan	Thimphu	 ,Dzongkha	 ,Vajrayana Buddhism ,official religion ,Hinduism	 ,Bhutanese
20	Bolivia		 ,Sucre ,La Paz		 ,Spanish ,36 indigenous languages ,Araona ,Aymara ,Ayoreo ,Baure ,Canichana ,Cavineña ,Cayuvava ,Chácobo ,Chimane ,Chiquitano ,Eastern Bolivian Guaraní ,Ese Ejja ,Guaraní ,Guarayu ,Ignaciano ,Itene ,Itonama ,Kallawaya ,Leco ,Mosetén ,Movima ,Pakawara ,Pauserna ,Piro ,Puquina ,Quechua ,Reyesano ,Sirionó ,Tacana ,Toromono ,Trinitario ,Uru-Chipaya ,Wichí Lhamtés Nocten ,Yaminawa ,Yuki ,Yuracaré
21	Bosnia_and_Herzegovina	[1]	 ,Bosnian ,Serbian ,Croatian	 ,Bosnian	 ,Federal ,parliamentary ,constitutional ,republic
